uch,dt_inspection_r,inspector_fio_r,section_number_r,correction,remains_kg_r,fuel_mark_r,status,status_id,guid
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №9 (АИ-92),0,10971,АИ-92,Загружен,2,WPGUID26D240506173740S223
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №8 (АИ-92),0,1944,АИ-92,Загружен,2,WPGUID26D240506173536S222
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №7 (ДТ МЕЖСЕЗЕННОЕ),0,504,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID26D240506173323S221
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №6 (ДТ ЛЕТНЕЕ),0,24382,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID26D240506172655S220
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №5 (ДТ МЕЖСЕЗЕННОЕ),0,914,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID26D240506171638S219
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №4 (ДТ ЛЕТНЕЕ),0,25535,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID26D240506171034S218
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №3 (ДТ ЛЕТНЕЕ),0,49871,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID26D240506170916S217
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №2 (ДТ ЗИМНЕЕ),0,25590,ДТ ЗИМНЕЕ,Загружен,2,WPGUID26D240506170639S216
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,Емкость №1 (ДТ ЛЕТНЕЕ),0,11935,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID26D240506170426S215
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,ЕВРОКУБ АИ (1000041) ,0,213,АИ-92,Загружен,2,WPGUID26D240506170114S214
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,АТЗ - 90260 (C445KP124) ,0,9362,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID26D240506165841S213
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,АТЗ - 742 (С528МА24) ,0,0,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID26D240506165643S212
МАГЫЗЫ,06.05.2024,ФРОЛОВ Е.Н.,АТЗ - 748 (M148РP124) ,0,2175,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID26D240506164959S211
ПОЛУДЕНОВКА ,02.05.2024,ФРОЛОВ Е.Н.,Емкость №2 (ДТ МЕЖСЕЗЕННОЕ),1,1457,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID33D240502204350S168
ПОЛУДЕНОВКА ,02.05.2024,ФРОЛОВ Е.Н.,Емкость №1 (ДТ ЛЕТНЕЕ),1,25117,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID33D240502204242S167
ПОЛУДЕНОВКА ,02.05.2024,ФРОЛОВ Е.Н.,ЕВРОКУБ ДТ (1000054) ,1,3163,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID33D240502204054S166
ПОЛУДЕНОВКА ,02.05.2024,ФРОЛОВ Е.Н.,АТЗ - 90207 (Н675ВА138) ,1,7807,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID33D240502203820S165
ПОЛУДЕНОВКА ,02.05.2024,ФРОЛОВ Е.Н.,Емкость №3 (АИ-92),1,4924,АИ-92,Загружен,2,WPGUID33D240502203233S164
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ АИ (1000045) ,0,458,АИ-92,Загружен,2,WPGUID10D240502142757S162
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ НЕФТЕШЛАМ (1000048) ,0,1350,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502142655S161
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ КЕРОСИН (1000047) ,0,0,КЕРОСИН,Загружен,2,WPGUID10D240502142616S160
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,10000017 ПРОЛИВ ТОПЛИВА ,0,0,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID10D240502142241S158
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,АТЗ - 22135 (H351PH124) ,0,2145,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502142343S159
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,Емкость №6 (АИ-92),0,0,АИ-92,Загружен,2,WPGUID10D240502142115S156
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ ДТ (1000046) ,0,392,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502142223S157
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,Емкость №5 (ДТ МЕЖСЕЗЕННОЕ),0,28251,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502142007S155
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,Емкость №4 (ДТ МЕЖСЕЗЕННОЕ),0,16002,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502141924S154
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,Емкость №3 (ДТ МЕЖСЕЗЕННОЕ),0,38127,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502141819S153
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,Емкость №2 (ДТ МЕЖСЕЗЕННОЕ),0,43356,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502141709S152
ТЮРЕПИНО,02.05.2024,КОРОБЕЙНИКОВ,Емкость №1 (ДТ МЕЖСЕЗЕННОЕ),0,60784,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502135711S149
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ НЕФТЕШЛАМ  (1000089) ,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502115227S148
ВЕРХНЯЯ ШУМИХА,02.05.2024,ШАЦКИЙ А.С.,АТЗ - АТЗ № 452 (Н366РН124) ,0,3702,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID20D240502115354S111
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ АИ (1000087) ,0,0,АИ-92,Загружен,2,WPGUID10D240502115152S146
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ ДТ (1000086) ,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502115126S145
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ КЕРОСИН (1000088) ,0,0,КЕРОСИН,Загружен,2,WPGUID10D240502115208S147
ВЕРХНЯЯ ШУМИХА,02.05.2024,ШАЦКИЙ А.С.,АТЗ - АТЗ № 480 (H366PH124) ,0,2173,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID20D240502115242S110
ВЕРХНЯЯ ШУМИХА,02.05.2024,ШАЦКИЙ А.С.,Емкость №7 (АИ-92),0,2303,АИ-92,Загружен,2,WPGUID20D240502115112S109
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,АТЗ - 22135 (H351PH124) ,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502115057S144
ВЕРХНЯЯ ШУМИХА,02.05.2024,ШАЦКИЙ А.С.,Емкость №6 (ДТ МЕЖСЕЗЕННОЕ),0,801,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID20D240502115018S108
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,Емкость №3 (ДТ МЕЖСЕЗЕННОЕ),0,1943,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502114916S143
ВЕРХНЯЯ ШУМИХА,02.05.2024,ШАЦКИЙ А.С.,Емкость №5 (ДТ МЕЖСЕЗЕННОЕ),0,36697,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID20D240502114910S107
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,Емкость №2 (ДТ МЕЖСЕЗЕННОЕ),0,1922,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502114728S142
ВЕРХНЯЯ ШУМИХА,02.05.2024,ШАЦКИЙ А.С.,Емкость №4 (ДТ МЕЖСЕЗЕННОЕ),0,39079,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID20D240502114814S106
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,Емкость №1 (ДТ МЕЖСЕЗЕННОЕ),0,21377,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502114704S141
БЕЗОБРАЗОВКА,02.05.2024,КОРОБЕЙНИКОВ,10000036 ПРОЛИВ ТОПЛИВА ,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID10D240502114440S140
ВЕРХНЯЯ ШУМИХА,02.05.2024,ШАЦКИЙ А.С.,Емкость №1 (АИ-92),0,2364,АИ-92,Загружен,2,WPGUID20D240502114545S105
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ БЕНЗИН (100007) ,0,0,АИ-92,Загружен,2,WPGUID15D240501193831S244
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,10000014 ПРОЛИВ ТОПЛИВА,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID15D240501193908S245
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ КЕРОСИН (100008) ,0,0,КЕРОСИН,Загружен,2,WPGUID15D240501193809S243
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ НЕФТЕШЛАМ (100009) ,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID15D240501193742S242
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,Емкость №14 (АИ-92),0,0,АИ-92,Загружен,2,WPGUID15D240501193657S241
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,Емкость №13 (АИ-92),0,3939,АИ-92,Загружен,2,WPGUID15D240501193608S240
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,АТЗ - 170,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID15D240501193455S239
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,АТЗ - 2286 (Е442НВ70) ,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID15D240501193354S238
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,ЕВРОКУБ ДТ (100002) ,0,0,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID15D240501193222S237
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,Емкость №12 (ДТ МЕЖСЕЗЕННОЕ),0,17757,ДТ МЕЖСЕЗОННОЕ,Загружен,2,WPGUID15D240501193156S236
НАДЕЖДА,01.05.2024,КОРОБЕЙНИКОВ,Емкость №11 (ДТ ЛЕТНЕЕ),0,31353,ДТ ЛЕТНЕЕ,Загружен,2,WPGUID15D240501193051S235
