dt_giveout_t,uch,venchile_gn_t,wp_dest_t,given_mass_t,table_color,date_color,status,status_id,guid
11.05.2024,ГОРЕВАЯ,АТЗ № 90173 (У092ТВ38) НЕФАЗ-66062-10,ГОРЕВАЯ,1822.2,white,,Загружен,2,WPGUID18D240511171814S194
11.05.2024,КУВАЙ,90153 (К030ВМ14) КАМАЗ НЕФАЗ 66062-10,КУВАЙ,4217.5,white,,Загружен,2,WPGUID38D240511150844S485
10.05.2024,КУВАЙ,90153 (К030ВМ14) КАМАЗ НЕФАЗ 66062-10,КУВАЙ,5072.5,white,,Загружен,2,WPGUID38D240510155433S484
10.05.2024,ГОРЕВАЯ,АТЗ № 90173 (У092ТВ38) НЕФАЗ-66062-10,ГОРЕВАЯ,2634.4,white,,Загружен,2,WPGUID18D240510092018S193
10.05.2024,АНДАТ,376 (К309МТ124) АТЗ КАМАЗ 43118,ТЮХТЕРЕК; ПИХТАЧИ,6797,white,,Загружен,2,WPGUID29D240511175355S898
10.05.2024,АНДАТ,365 АТЗ  КАМАЗ 43118,БИЗА; АНДАТ,4141.7,white,,Загружен,2,WPGUID29D240511175141S897
10.05.2024,НАДЕЖДА,170 УРАЛ 375Е,НАДЕЖДА,3372,white,,Загружен,2,WPGUID15D240511161325S631
10.05.2024,НАДЕЖДА,ТЕХНИКА ДРУГОГО СКЛАДА,Б.МУРОЖНАЯ,427.9,white,,Загружен,2,WPGUID15D240511161739S632
10.05.2024,КАРАГАН,529 (E995PO124) ГАЗ -С41А23 (SADKO NEXT),КАРАГАН,1579,white,,Загружен,2,WPGUID36D240510203029S560
10.05.2024,КАРАГАН,529 (E995PO124) ГАЗ -С41А23 (SADKO NEXT),КАРАГАН,1649.7,white,,Загружен,2,WPGUID36D240510194205S559
10.05.2024,КАРАГАН,529 (E995PO124) ГАЗ -С41А23 (SADKO NEXT),КАРАГАН,1997.6,white,,Загружен,2,WPGUID36D240510113134S558
10.05.2024,КАРАГАН,529 (E995PO124) ГАЗ -С41А23 (SADKO NEXT),КАРАГАН,1445.8,white,,Загружен,2,WPGUID36D240510110202S557
10.05.2024,МАГЫЗЫ,748 (M148РP124) ГАЗ -С41А23 (SADKO NEXT),МАГЫЗЫ,799.2,white,,Загружен,2,WPGUID26D240510175002S816
